질환명,증상,관련질환,진료과목,코드
퇴행성 척추 장애,"요통, 저림, 관절의 경직, 다리 통증","요추 전방전위증, 요추관 협착증",정형외과,30537
트리처 콜린스 증후군 ,"난청, 얼굴형태의 이상, 다른 선천성 기형","스미스-마제니스 증후군, ARC 증후군, 베크위트-위드만 증후군, 다발성 흑자 증후군, 루빈스타인 테이비 증후군, 연골외배엽 이형성증, 판코니범혈구감소증","성형외과, 의학유전학센터, 소아내분비대사과, 의학유전학과",32418
트리코모나스증,"소양감, 비정상적 질 분비물, 발적, 작열감",비임균성 요도염,산부인과,31940
특발성 폐섬유화증,"기침, 저산소증, 호흡곤란, 곤봉지, 운동 시 호흡곤란","만성 폐질환, 미만성 간질성 폐질환, 가습기 살균제 연관 폐질환, 만성 폐쇄성 폐질환",호흡기내과,32186
티눈 및 굳은살,"각질이 딱딱해짐, 피부 각질",조갑백선,피부과,32471
틱 장애,"이상한 소리를 냄, 비정상적인 움직임","우울증, 행동 및 충동 장애, 불안 장애","정신건강의학과, 소아정신건강의학과",31925
파라인플루엔자 감염증,"고막 충혈, 열, 가래, 기침, 편도선 비대, 식욕부진, 구토, 콧물","길랑-바레 증후군, 인후두염",감염내과,31608
파라핀종,"열감, 환부 통증, 피부소양감, 괴사, 피부궤양","피부 농양, 피부염",성형외과,33637
파브리병,"검붉은 색 피부, 각막 이상, 심혈관계 증상, 복부 통증, 감각 이상, 말초 통증","고셔병, 니만-피크병, 테이-삭스병, 이염성 백질이영양증","의학유전학센터, 소아내분비대사과, 의학유전학과",32357
파상풍,"오심, 호흡곤란, 비웃는 듯한 표정, 근육강직, 삼키기 곤란, 두통, 후궁반장, 구토",렙토스피라증,감염내과,31613
파이퍼 증후군 ,"안구돌출, 손가락의 변형, 청력장애, 언어장애, 얼굴형태의 이상, 정신 지체, 눈 사이가 멀어보임","에이퍼트 증후군, 연골무형성증, 크루존 증후군, 스티클러 증후군, 골형성부전증, 니스트 이형성증, 저인산증, 연골형성저하증","의학유전학센터, 의학유전학과",32401
파종혈관내응고,"의식 저하, 출혈 경향성, 점상 출혈, 청색증, 경련, 빈뇨, 저혈량 쇼크, 호흡곤란, 무뇨, 복부 통증","췌장암, 폐암, 유방암, 전립선암, 백혈병, 림프종, 급성골수성백혈병, 난소암, 태반 조기 박리, 자간증, 양수색전증, 화상",혈액내과,31795
파킨슨병,"자세 불안정, 손떨림, 자세이상, 경직, 보행이상, 수면장애, 떨림(진전), 서동","알츠하이머병, 이차성 파킨슨증, 비정형 파킨슨 증후군",신경과,31983
파타우 증후군,"다지증, 정신 지체, 심혈관계 증상, 입술 및 입천장의 기형, 얼굴형태의 이상","다운 증후군, 에드워드 증후군","의학유전학센터, 의학유전학과",32400
팔로 사 징후,"호흡곤란, 청색증, 심잡음, 무산소 발작, 발육부전, 운동 시 호흡곤란","선천성 심장 질환, 심실 중격 결손, 다운 증후군, 22번 염색체 장완 미세결실 증후군","소아청소년심장과, 소아심장외과, 선천성심장병센터",31645
팔죽지 골절,"뼈의 변형, 손상 부위 통증, 근육강직, 손상부위 촉각 소실, 손상 부위 출혈","원위 요골과 척골 골절, 골절 후 부정 유합, 불유합, 병리적 골절, 피로 골절",정형외과,32150
패혈성 관절염,"열, 오한, 열감, 관절통, 관절염, 관절 운동성 감소, 환부 부종","전신 홍반성 낭창, 류마티스 관절염, 통풍, 골관절염, 관절염","감염내과, 정형외과, 소아정형외과",31735
패혈증,"저혈압, 열, 빈맥, 빈호흡, 의식 저하, 오한, 소변량 감소, 심부전","폐렴, 바이러스성 뇌수막염, 박테리아성 뇌수막염, 급성 신우신염, 파종혈관내응고, 급성 담낭염, 저혈압, 장출혈성 대장균 감염증, 반코마이신 내성 장알균(VRE) 감염증, 반코마이신 내성 황색포도알균(VRSA) 감염증","호흡기내과, 응급의학과, 중환자실, 소아중환자과",32319
페닐케톤뇨증,"경련, 정신 지체, 습진, 구토","호모시스틴뇨증, 단풍당밀뇨증","의학유전학센터, 소아내분비대사과, 의학유전학과",32402
편도결석,"구취, 노란 이물질, 귀의 통증, 목의 통증","아데노이드의 비대를 동반한 편도의 비대, 편도선염",이비인후과,32119
편도선염,"열, 목의 통증, 편도선 비대, 삼키기 곤란","아데노이드의 비대를 동반한 편도의 비대, 편도결석, 편도암, 상기도 감염",이비인후과,32442
편도암,"호흡곤란, 목의 이물감, 목의 통증, 삼키기 곤란","아데노이드의 비대를 동반한 편도의 비대, 비인두 종양, 편도결석, 편도선염","종양내과, 방사선종양학과, 이비인후과, 암병원",32859
편두통,"박동성 통증, 빛이나 소리 공포증, 구토, 오심","두통, 근육 긴장성 두통, 군발성 두통 증후군, 측두동맥염","가정의학과, 신경과",31876
편집성 인격장애,"긴장, 원한, 질투, 의심, 권리를 강하게 주장",망상 장애,정신건강의학과,31915
편평 태선,"결절, 적색의 각질화된 피부, 구강궤양, 피부소양감","사마귀, 칸디다성 구내염, 건선",피부과,33599
폐 농양,"열, 기침, 화농성 객담, 체중감소, 호흡곤란",폐렴,호흡기내과,32493
폐 전이,"기침, 객혈","간 전이, 소세포성 폐암, 비소세포성 폐암, 폐암, 전이성 신장암","종양내과, 호흡기내과, 방사선종양학과, 심장혈관흉부외과",32012
폐 혈전색전증,"실신, 발한, 기침, 가슴 통증, 불안, 빈맥, 폐색전, 호흡곤란, 객혈","심부정맥 색전증, 문맥색전증, 동맥색전증 및 혈전증, 양수색전증","심장내과, 심장병원",30454
폐결핵,"체중감소, 기침, 객혈, 가래, 열","만성 기침, 결핵, 속립성 결핵, 결핵성 임파선염, 결핵성 복막염, 결핵성 골수염, 결핵성 수막염, 위장관 결핵",호흡기내과,31847
폐경,"두통, 불면증, 건망증, 감정 변화, 성욕감퇴, 관절통, 피로감, 가슴 두근거림, 안면홍조, 발한, 요통, 불안","골다공증, 대퇴 골절, 병리적 골절, 복압성 요실금, 요실금, 우울증, 폐경기 및 여성의 갱년기 상태, 급성 심근경색증, 심계항진","내분비내과, 산부인과",31316
폐경기 및 여성의 갱년기 상태,"성욕감퇴, 우울, 발한, 불안, 수면장애, 골다공증, 피부 긴장도 저하, 가슴 두근거림, 안면홍조","골다공증, 고지혈증","내분비내과, 산부인과",31937
폐기종,"가래, 가슴 답답, 청색증, 호흡곤란, 하지부종, 기침","만성 폐쇄성 폐질환, 폐렴, 급성 기관지염, 만성 폐질환, 미만성 간질성 폐질환, 만성 기관지염, 특발성 폐섬유화증",호흡기내과,31849
폐렴,"흉수, 두통, 피로감, 호흡곤란, 기침, 가래, 열, 오한, 가슴 통증","병원 감염성 폐렴, 지역사회성 폐렴, 흡인성 폐렴, 폐렴간균에 의한 폐렴","노년내과, 호흡기내과",31631
폐렴간균에 의한 폐렴 ,"호흡곤란, 열, 오한, 객혈, 가슴 통증","폐렴, 폐 농양",호흡기내과,32495
폐부종,"말초부종, 기침, 청색증, 객혈, 폐부종","만성 신부전, 급성 신부전, 신부전, 울혈성 심부전",호흡기내과,32257
폐색성 혈전 혈관염 ,"말초의 허혈, 저림, 말초 통증",혈관염,혈관외과,32133
폐성 고혈압,"호흡곤란, 피로감, 어지러움","동맥색전증 및 혈전증, 선천성 심장 질환, 고혈압, 만성 폐쇄성 폐질환, 만성 폐질환, 심장 판막 질환","심장내과, 소아청소년심장과, 심장병원",32170
폐소공포증,"불안, 좁은 공간에서의 불안감","사회공포증, 광장공포증, 불안 장애",정신건강의학과,33558
폐암,"기침, 호흡곤란, 객혈, 목소리 변화, 가슴 통증, 체중감소","비소세포성 폐암, 소세포성 폐암, 만성 기침, 폐 전이","종양내과, 호흡기내과, 방사선종양학과, 심장혈관흉부외과, 암병원",30468
포경,"생식기 부종, 발적","감돈포경, 귀두포피염",비뇨의학과,32199
포도막염,"눈의 충혈, 눈의 통증, 시력 감소, 비문증, 광과민성, 앞이 뿌옇게 보임, 눈부심","결핵, 망막 정맥 폐쇄, 망막 박리, 녹내장, 베체트 병, 류마티스 관절염, 매독, 홍채염",안과,31143
포도상구균 감염,"발진, 열, 환부 통증",병원 감염성 폐렴,"감염내과, 소화기내과, 호흡기내과",31625
포르피린증,"광과민성, 잇몸 위축, 빈혈, 구토, 창백, 오심","당뇨병, 용혈빈혈, 간경화",혈액내과,32289
포상기태,"거대자궁, 구토, 임신 오조증, 비정상적 질출혈, 복부 통증","비정상적 자궁, 질 출혈, 유산",산부인과,31935
폰빌레브란트병,"출혈 경향성, 점상 출혈, 비출혈, 월경과다",혈우병,혈액내과,32458
폼페병,"호흡곤란, 근력 약화, 심근손상","당원 축적병, 갈락토오스혈증","의학유전학센터, 소아내분비대사과, 의학유전학과",32403
표피낭종,"압통, 발적, 노란 이물질, 덩어리가 만져짐","기저세포 암종, 지방종, 피부의 양성 종양, 여드름","성형외과, 피부과",32521
풍진,"림프 부종, 눈의 충혈, 열, 발진, 권태감, 두통",홍역,감염내과,31612
프라더 윌리 증후군 ,"정신 지체, 식욕증가, 복부비만, 근긴장의 이상","22번 염색체 장완 미세결실 증후군, 윌리암스 증후군, 18번 염색체 단완결실 증후군, 4번 염색체 단완결실 증후군, 스미스-마제니스 증후군, 엔젤만 증후군, 묘성 증후군, 18번 염색체 장완결실 증후군","의학유전학센터, 소아내분비대사과, 의학유전학과",32404
프로피온산증,"수유 곤란, 점상 출혈, 산혈증, 출혈 경향성, 식욕부진, 탈수, 구토","레쉬-니한 증후군, 메틸말론산증","의학유전학센터, 소아내분비대사과, 소아신경과, 의학유전학과",32405
피로 골절,"손상 부위 통증, 환부 부종","원위 요골과 척골 골절, 골절 후 부정 유합, 불유합, 병리적 골절, 대퇴 골절, 천추골 골절, 팔죽지 골절, 경골과 비골 골절",정형외과,31711
피부 농양,"고름, 환부 부종, 림프절 농양, 발적, 환부 통증","한선염, 기저귀 피부염, 지루성 피부염, 탈락 피부염, 아토피성 피부염, 모낭염, 피부염, 접촉 피부염","성형외과, 피부과",32522
피부건조증,"피부균열, 피부소양감, 피부 각질","점액수종 혼수, 다운 증후군, 어린선, 당뇨병, 림프종, 후천성 면역결핍증, 노화, 안구 건조증, 증상이 없는 HIV 감염",피부과,32470
피부근육염,"관절통, 근력 약화, 피부궤양, 피부색 변화, 호흡곤란, 발진, 환부 부종, 삼키기 곤란, 열","전신 홍반성 낭창, 류마티스 관절염, 쇼그렌 증후군",류마티스내과,30840
피부섬유육종,"갈색 피부 반점, 결절","육종, 신경섬유종, 카포시 육종, 연부조직 육종","성형외과, 피부과",33593
피부암,"갈색 피부 반점, 환부 통증, 결절, 딱지, 색소 침착, 점 안에 다른 색 피부, 피부궤양","백반증, 화상, 카포시 육종, 광선 각화증, 악성 흑색종","종양내과, 방사선종양학과, 성형외과, 피부과, 피부암센터",31545
피부염,"물집, 피부 건조, 발진","탈락 피부염, 지루성 피부염, 접촉 피부염, 아토피성 피부염",피부과,32472
피부의 양성 종양,"낭종, 갈색 피부 반점","사마귀, 피부암, 베체트 병, 안검황색종, 비립종, 주근깨, 광선 각화증, 색소 세포성 모반, 상피내 신생물, 티눈 및 굳은살, 표피낭종, 기저세포 암종","성형외과, 피부과",31759
피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환,"편두통, 치매, 시야장애, 우울, 마비, 언어장애, 뇌전증 발작","레트 증후군, 신경섬유종, 결절성 경화증, 모세혈관 확장성 운동실조 증후군, 뇌졸중, 로우 증후군","신경과, 의학유전학과",32343
하지 정맥류,"환부 통증, 피부경화, 피부궤양, 경련, 작열감, 피로감, 하지부종, 피부 긴장도 저하","동맥색전증 및 혈전증, 심부정맥 색전증, 위 정맥류, 식도 정맥류",혈관외과,31749
하지불안증후군,"저림, 수면장애, 다리 통증",수면 장애,"신경과, 정신건강의학과",31918
한관종,"눈이나 뺨 주위 작은 낭종, 덩어리가 만져짐","비립종, 쥐젖",피부과,32515
한랭 두드러기,"발적, 환부 부종, 두드러기, 피부소양감","감염성 단핵구증, 인후두염, 편도선염, 한랭글로불린혈증, 음식 알레르기, 약물 알레르기, 만성 두드러기, 아나필락시스","피부과, 알레르기내과",33887
한랭글로불린혈증,"말초 통증, 말초 신경장애, 자반증, 환부 통증, 관절염, 청색증, 피부색 변화, 피부궤양, 레이노이드 현상","급성 바이러스성 간염, 급성 A형 간염, 림프종, 다발골수종, 만성림프구백혈병, 급성 C형 간염, 급성 B형 간염, 사구체신염, 자가면역 질환",혈액내과,31782
한선염,"장액성 분비물, 면포, 고름, 결절, 압통","갑상선염, 취한증, 여드름, 피부의 양성 종양","성형외과, 피부과",32520
한센병,"발진, 안구혼탁, 피부염증, 결절, 눈물흘림","홍채염, 각막염",감염내과,31662
함몰 유두,함몰유두,"결핵, 유방의 섬유선종, 유방 종양, 유방의 엽상 종양, 유방 농양, 유관 확장증, 유방암",성형외과,32253
항문 누공,"고름, 열, 항문주위 염증, 항문 통증","항문 열구, 항문소양증, 항문암, 항문 주위 농양, 항문 및 직장의 궤양","소화기내과, 대장항문외과",31775
항문 및 직장의 궤양,"혈변, 복부 통증, 오심, 설사, 잔변감, 열","직장암, 항문 열구, 항문 주위 농양, 항문 누공, 대장암, 항문암, 치핵",소화기내과,32066
